,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice,saleyear
56,2015,Chevrolet,Malibu,LT,Sedan,automatic,ca,1.0,6105.0,silver,black,9800,2015
57,2015,Lexus,RX 350,Base,SUV,automatic,ca,4.3,7770.0,white,black,38400,2014
58,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,5214.0,white,black,19300,2014
59,2014,BMW,M5,Base,Sedan,automatic,ca,4.7,7766.0,gray,black,77250,2014
60,2015,Kia,K900,Luxury,Sedan,automatic,ca,4.4,9684.0,white,gray,41000,2015
61,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,ca,2.0,31.0,white,black,17300,2014
62,2015,Nissan,Versa,1.6 SL,Sedan,manual,ca,3.9,1608.0,purple,black,11000,2014
63,2014,Chevrolet,Camaro,LT,Coupe,automatic,ca,3.1,9914.0,black,black,20600,2014
64,2015,Hyundai,Elantra,SE,Sedan,automatic,ca,1.0,7879.0,silver,gray,10500,2014
65,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,14176.0,white,black,21250,2014
66,2014,Chevrolet,Camaro,LT,Coupe,automatic,ca,4.1,17594.0,gray,black,19600,2014
67,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,ca,5.0,1906.0,gray,black,25750,2014
68,2014,BMW,6 Series,650i,Convertible,automatic,ca,4.0,8037.0,black,black,65000,2015
69,2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,ca,2.0,5773.0,red,black,9000,2015
70,2014,Audi,A8,L 3.0T quattro,Sedan,automatic,ca,4.3,32918.0,black,black,50000,2014
71,2014,BMW,X1,sDrive28i,SUV,automatic,ca,4.8,19689.0,white,black,26500,2014
73,2014,Chevrolet,Camaro,LT,Coupe,automatic,ca,1.0,20595.0,red,gray,13600,2014
74,2015,Volvo,V60,T5,Wagon,automatic,ca,4.0,13623.0,silver,black,28000,2015
75,2014,BMW,6 Series,650i,Coupe,automatic,ca,4.0,9837.0,black,—,61500,2014
76,2014,Chevrolet,Camaro,LT,Coupe,automatic,ca,3.0,13606.0,black,black,13000,2015
77,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,ca,2.9,37752.0,white,black,58000,2014
78,2015,Kia,Sorento,LX,SUV,automatic,ca,4.4,9161.0,silver,black,22250,2014
79,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,11001.0,white,black,22500,2014
80,2014,Buick,Enclave,Leather Group,SUV,automatic,ca,1.0,14599.0,gray,black,24100,2014
81,2014,BMW,M5,Base,Sedan,automatic,ca,3.8,13386.0,white,black,65000,2014
82,2014,BMW,M5,Base,Sedan,automatic,ca,4.1,15161.0,white,black,65801,2014
83,2014,Audi,TTS,quattro,Coupe,automatic,ca,2.8,3996.0,silver,black,34250,2014
84,2015,Hyundai,Elantra,SE,Sedan,automatic,ca,2.0,10551.0,red,gray,10600,2015
85,2014,BMW,4 Series,428i SULEV,Coupe,automatic,ca,3.7,18152.0,white,black,39750,2014
86,2015,Kia,Sorento,LX,SUV,automatic,ca,4.6,13452.0,silver,black,21500,2014
87,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,4.1,37938.0,black,black,13700,2014
88,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,4.2,39623.0,blue,black,13200,2015
90,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,16348.0,gray,gray,20500,2014
92,2015,Hyundai,Elantra,SE,Sedan,automatic,ca,3.5,3367.0,silver,gray,13200,2014
93,2014,Acura,MDX,Advance and Entertainment Packages,SUV,automatic,ca,4.9,21523.0,white,gray,41500,2014
94,2015,Ford,Fusion,SE,Sedan,automatic,ca,1.0,4205.0,white,black,12000,2014
95,2014,BMW,6 Series,650i,Convertible,automatic,ca,3.7,8891.0,silver,black,67200,2014
96,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,2.0,8154.0,silver,black,10000,2014
97,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,ca,3.7,6726.0,black,black,30250,2014
98,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,3.7,36771.0,silver,black,13600,2014
99,2015,Kia,Sorento,LX,SUV,automatic,ca,4.9,9552.0,burgundy,beige,21000,2014
100,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,1.0,10673.0,red,black,3300,2014
101,2015,Volvo,V60,T5,Wagon,automatic,ca,3.7,14806.0,white,beige,30000,2014
102,2014,Chevrolet,Camaro,LS,Coupe,manual,ca,4.4,7924.0,white,black,18500,2014
103,2015,Nissan,Altima,2.5 S,Sedan,automatic,ca,1.0,12752.0,gray,black,9500,2014
104,2014,BMW,6 Series,650i,Convertible,automatic,ca,3.8,19499.0,silver,—,62000,2015
105,2015,Hyundai,Elantra,SE,Sedan,automatic,ca,1.0,6759.0,blue,gray,5800,2014
106,2014,BMW,5 Series,535d,Sedan,automatic,ca,4.8,12292.0,white,black,46500,2015
107,2014,BMW,6 Series,650i,Convertible,automatic,ca,3.7,15727.0,white,black,65000,2014
108,2015,Kia,Sorento,LX,SUV,automatic,ca,4.9,13711.0,white,black,21750,2014
109,2014,Cadillac,SRX,Luxury,SUV,automatic,ca,4.4,8683.0,white,black,30000,2014
110,2014,BMW,X5,xDrive35i,SUV,automatic,ca,5.0,4503.0,white,black,57250,2014
111,2015,Hyundai,Elantra,SE,Sedan,automatic,ca,2.0,7800.0,silver,gray,9000,2014
113,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,ca,4.0,9685.0,white,black,30000,2014
114,2015,Kia,Sorento,LX,SUV,automatic,ca,5.0,10615.0,burgundy,black,20500,2014
115,2015,Kia,Sorento,LX,SUV,automatic,ca,4.8,13031.0,purple,black,20750,2014
116,2014,Acura,ILX,Base,Sedan,automatic,ca,4.1,12905.0,silver,gray,20400,2014
117,2015,Kia,Sorento,LX,SUV,automatic,ca,4.8,16611.0,gray,black,20750,2014
118,2015,Volvo,V60,T5,Wagon,automatic,ca,4.1,12273.0,white,beige,30000,2014
120,2014,Chevrolet,Cruze,2LT,Sedan,automatic,ca,4.2,40560.0,gray,brown,12800,2015
122,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.5,14716.0,white,black,25000,2014
123,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.6,68.0,black,black,27250,2014
124,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,24112.0,white,black,22500,2014
125,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.7,4859.0,black,black,26750,2014
126,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.5,21126.0,black,beige,26500,2014
127,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.2,26675.0,blue,black,23750,2014
128,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.2,19978.0,white,black,24500,2014
129,2013,Infiniti,FX,FX37,SUV,automatic,ca,4.3,10532.0,black,black,32000,2014
130,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.1,25859.0,blue,black,21750,2014
131,2013,Hyundai,Santa Fe,Limited,SUV,automatic,ca,5.0,14974.0,white,gray,27000,2014
132,2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,ca,4.7,21463.0,gray,black,27400,2014
133,2013,Hyundai,Equus,Signature,Sedan,automatic,ca,4.1,22961.0,gray,black,25000,2015
134,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.7,21144.0,—,black,24250,2014
135,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.6,56651.0,red,beige,10700,2014
136,2013,Hyundai,Santa Fe,Limited,SUV,automatic,ca,5.0,11439.0,white,brown,30800,2014
137,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.4,39935.0,silver,gray,11000,2014
138,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.1,20317.0,gray,black,26250,2014
139,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.0,37436.0,silver,gray,8800,2014
140,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.5,26888.0,white,gray,23250,2014
141,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.8,7815.0,white,black,27000,2014
142,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.3,54830.0,silver,gray,11500,2014
143,2013,Hyundai,Elantra,GLS,Sedan,manual,ca,4.9,2606.0,white,beige,12300,2014
144,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.9,36416.0,blue,gray,11400,2014
145,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.5,26412.0,black,beige,11750,2014
146,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,ca,2.1,11099.0,silver,gray,16500,2015
147,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,11250.0,black,black,23500,2014
148,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,ca,4.8,16386.0,white,gray,18800,2014
149,2013,Hyundai,Santa Fe,Sport,SUV,automatic,ca,4.8,20663.0,gray,gray,19200,2014
150,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,16154.0,gray,black,22750,2014
151,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.2,22405.0,gray,gray,23000,2014
152,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.8,28172.0,silver,black,21000,2014
153,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.7,18600.0,white,black,24750,2014
154,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.3,17523.0,—,black,26500,2014
155,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.0,11440.0,black,black,23000,2014
156,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.6,28231.0,gray,gray,13400,2014
157,2013,Hyundai,Santa Fe,Limited,SUV,automatic,ca,4.2,13225.0,black,brown,26000,2014
158,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.5,41888.0,gray,gray,11900,2014
159,2013,Hyundai,Sonata,Limited,Sedan,automatic,ca,3.7,35428.0,black,beige,16200,2015
160,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,3.5,36307.0,gray,gray,11700,2014
161,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,ca,4.6,13736.0,black,beige,17700,2014
162,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.0,25442.0,gold,beige,6700,2014
163,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,15208.0,white,black,25250,2014
164,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,2.5,10929.0,white,gray,21000,2014
165,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,29672.0,white,black,23000,2014
166,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.7,22165.0,black,beige,22750,2014
167,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,21263.0,black,beige,22000,2014
168,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,24971.0,gray,black,21250,2014
169,2013,Hyundai,Elantra,Limited,Sedan,automatic,ca,4.5,37290.0,white,beige,11000,2014
170,2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,ca,4.7,17367.0,black,beige,24100,2014
171,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,11847.0,white,beige,25000,2014
172,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.1,15562.0,gray,black,24500,2014
173,2013,Hyundai,Sonata,Limited,Sedan,automatic,ca,4.3,18479.0,white,burgundy,18100,2014
174,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,22021.0,black,black,22000,2014
175,2013,Hyundai,Accent,GLS,Sedan,automatic,ca,2.0,34136.0,black,beige,8100,2014
176,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.0,28668.0,gray,—,23000,2014
177,2013,Hyundai,Veloster,Turbo,Hatchback,automatic,ca,3.6,10474.0,white,black,16100,2014
178,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.2,16338.0,gray,black,25500,2014
180,2013,Hyundai,Elantra Coupe,SE,Elantra Coupe,automatic,ca,4.3,11809.0,black,black,16100,2014
181,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.2,15131.0,white,black,26000,2014
182,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,28053.0,black,black,25000,2014
183,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.1,19587.0,blue,gray,23500,2014
184,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.6,20246.0,gray,black,24750,2014
185,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.1,19957.0,—,beige,21750,2014
186,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.7,17337.0,white,black,20250,2014
187,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,1.0,48510.0,white,tan,6500,2014
188,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.6,23104.0,blue,black,22750,2014
189,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.6,5017.0,white,beige,23500,2014
190,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,2.2,24054.0,gray,black,18750,2014
191,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.7,36194.0,silver,gray,13200,2014
192,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,2.6,14264.0,white,tan,20750,2014
193,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,ca,4.7,8595.0,silver,gray,18500,2014
194,2013,Hyundai,Accent,GS,Hatchback,automatic,ca,4.6,9927.0,black,black,11300,2014
195,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,3.5,37759.0,beige,beige,11800,2014
196,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,17232.0,white,—,24500,2014
197,2013,Infiniti,FX,FX37,SUV,automatic,ca,4.1,40087.0,gray,black,27250,2014
198,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,1.0,25960.0,gray,gray,8800,2014
199,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.5,25132.0,white,black,23500,2014
200,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,14887.0,gray,black,24500,2014
201,2013,Hyundai,Accent,GLS,Sedan,automatic,ca,3.6,41841.0,gray,beige,9400,2014
202,2013,Hyundai,Azera,Base,Sedan,automatic,ca,4.5,34566.0,silver,black,20300,2014
203,2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,ca,5.0,10747.0,black,black,25800,2014
204,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,1.0,42798.0,gray,gray,7600,2014
205,2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,ca,4.4,16684.0,white,tan,14800,2014
206,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,1.9,18420.0,gray,beige,18250,2014
207,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.0,35824.0,gray,gray,8700,2014
208,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.1,17090.0,black,black,21500,2014
209,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,2.6,12735.0,black,black,22500,2014
210,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,24031.0,blue,black,20500,2014
211,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.7,29907.0,gray,black,21000,2015
212,2013,Hyundai,Tucson,GLS,SUV,automatic,ca,4.2,19109.0,red,black,17500,2014
213,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,26396.0,gray,black,23750,2014
214,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,2.1,23507.0,gray,black,21000,2014
215,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.8,34745.0,white,tan,12700,2014
216,2013,Hyundai,Elantra,Limited,Sedan,automatic,ca,4.8,10564.0,black,gray,16500,2014
217,2013,Hyundai,Azera,Base,Sedan,automatic,ca,4.7,16132.0,black,black,21400,2014
218,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.7,16854.0,gray,gray,25750,2014
219,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,19551.0,white,black,25000,2014
220,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,14486.0,brown,black,22000,2014
221,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,ca,4.2,17831.0,white,beige,18200,2014
222,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,2.7,26792.0,gray,gray,18000,2014
223,2013,Hyundai,Azera,Base,Sedan,automatic,ca,4.3,19152.0,silver,beige,22200,2014
224,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.4,19492.0,white,black,26250,2014
225,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.4,50160.0,blue,gray,11900,2014
226,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,19368.0,white,black,23000,2014
227,2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,ca,3.9,12154.0,white,black,27500,2014
228,2013,Hyundai,Equus,Ultimate,Sedan,automatic,ca,4.3,11566.0,white,beige,25000,2014
229,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.7,25635.0,white,beige,26500,2014
230,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.7,39062.0,blue,gray,12200,2014
231,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.0,29006.0,gray,gray,8700,2014
232,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.8,8559.0,red,beige,10800,2014
233,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.9,26907.0,gray,black,21750,2014
234,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.4,14765.0,gray,black,23500,2014
235,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.3,18673.0,gray,gray,22000,2014
237,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.7,20707.0,white,black,23500,2014
238,2013,Hyundai,Veloster,Turbo,Hatchback,automatic,ca,4.2,8467.0,black,black,16300,2014
239,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,16009.0,gray,black,22750,2014
240,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.0,15260.0,silver,black,24500,2014
241,2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,ca,4.4,9539.0,silver,gray,14900,2014
242,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.6,20976.0,black,black,21000,2014
243,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.6,22294.0,black,black,24750,2014
244,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,2.0,44135.0,gray,gray,8400,2014
245,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.0,30556.0,gray,black,23500,2014
246,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.1,29731.0,white,beige,21000,2014
247,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,1.0,36957.0,red,beige,9400,2014
248,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.4,13321.0,white,gray,26000,2014
249,2013,Hyundai,Azera,Base,Sedan,automatic,ca,3.6,6552.0,black,black,21400,2014
250,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,ca,4.3,22143.0,red,beige,17100,2014
251,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,23420.0,gray,black,22250,2014
252,2013,Hyundai,Accent,GLS,Sedan,automatic,ca,2.0,33078.0,white,beige,7800,2014
253,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.2,28875.0,gray,black,21000,2014
254,2013,Hyundai,Accent,SE,Hatchback,automatic,ca,4.9,6747.0,gray,black,11900,2014
255,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.4,38170.0,gray,beige,11600,2014
256,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,23156.0,white,black,23000,2014
257,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,2.8,32387.0,silver,gray,9750,2014
258,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,4.2,40593.0,white,beige,12000,2014
259,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.8,13661.0,gray,black,26500,2014
260,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.5,21557.0,white,black,25250,2014
261,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.8,20067.0,gray,black,24000,2014
262,2013,Hyundai,Sonata,Limited,Sedan,automatic,ca,3.9,45991.0,gray,gray,17200,2015
263,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.2,22354.0,gray,black,25000,2014
264,2013,Hyundai,Genesis,3.8,Sedan,automatic,ca,4.6,20952.0,silver,black,22200,2014
265,2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,ca,4.6,15758.0,gray,black,21400,2014
266,2013,Hyundai,Sonata,GLS,Sedan,automatic,ca,3.7,37154.0,black,gray,12100,2015
267,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,2.4,35963.0,black,gray,11500,2014
268,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,28920.0,blue,gray,23250,2014
269,2013,Hyundai,Genesis,3.8,Sedan,automatic,ca,3.0,19893.0,white,beige,22500,2014
270,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,3.8,38594.0,gray,gray,11800,2014
271,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.4,19035.0,gray,gray,12600,2014
272,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,ca,4.4,16605.0,black,black,25500,2014
273,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,3.8,28127.0,silver,black,21500,2014
274,2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,ca,4.5,14076.0,gray,black,25500,2014
275,2013,Hyundai,Elantra Coupe,GS,Elantra Coupe,automatic,ca,1.0,999999.0,blue,gray,2500,2015
276,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.4,17916.0,blue,black,24750,2014
277,2013,Hyundai,Elantra,GLS,Sedan,automatic,ca,4.6,42006.0,gray,beige,11300,2014
